comparator,term,coef,std_err_hc3,t_stat,p_value,ci_lower_95,ci_upper_95
MeanSD,C(distribution)[T.Right-skewed]:C(Contamination)[T.0.0_clean],0.0006198019801979311,0.0036406464617660043,0.17024503387161566,0.8648174367103149,-0.006515733965306616,0.007755337925702478
MeanSD,C(distribution)[T.Uniform]:C(Contamination)[T.0.0_clean],0.0006673267326730958,0.0032745983020793417,0.20378888373860973,0.8385184800490709,-0.005750768003238426,0.007085421468584618
MeanSD,C(distribution)[T.Compressed Normal]:C(Contamination)[T.0.1_lower],-0.003941386138613885,0.00482301707886439,-0.8172034380483492,0.4138121781025518,-0.013394325910009667,0.005511553632781896
MeanSD,C(distribution)[T.Left-skewed]:C(Contamination)[T.0.1_lower],-0.001781188118812006,0.002749988295751806,-0.6477075271787859,0.5171741348579737,-0.007171066136392228,0.003608689898768216
MeanSD,C(distribution)[T.Normal]:C(Contamination)[T.0.1_lower],-0.0024203960396041472,0.002729919677720331,-0.8866180420463297,0.3752845768831865,-0.0077709402886231875,0.002930148209414893
MeanSD,C(distribution)[T.Right-skewed]:C(Contamination)[T.0.1_lower],-0.0009621782178217648,0.0038009921744016724,-0.2531387000219817,0.8001610342239278,-0.00841198598516763,0.006487629549524101
MeanSD,C(distribution)[T.Uniform]:C(Contamination)[T.0.1_lower],-0.0011007920792081164,0.003466344381169581,-0.3175656998156362,0.7508143958168318,-0.007894702224313276,0.0056931180658970435
MeanSD,C(distribution)[T.Compressed Normal]:C(Contamination)[T.0.1_upper],-0.061800792079208085,0.007375398402311317,-8.379315761415794,5.3236276714025255e-17,-0.07625630731937252,-0.047345276839043646
MeanSD,C(distribution)[T.Left-skewed]:C(Contamination)[T.0.1_upper],-0.039060198019802136,0.004288236749802616,-9.10868506073039,8.338645729333447e-20,-0.047464987606596364,-0.03065540843300791
MeanSD,C(distribution)[T.Normal]:C(Contamination)[T.0.1_upper],0.005168514851484941,0.004325743586526853,1.1948269119748611,0.23215466337406432,-0.0033097867844628145,0.013646816487432696
